timestamp,connectionCount,consumerCount,queueCount,topicCount,producerCount,outboundMessageRate,outboundMessageCount,pendingMessageSize,inboundMessageRate,pendingMessageCount,inboundMessageCount,msgMem,diskWriteRate,sessionCount,diskReadRate,asyncDBSize,durableCount,syncDBSize,msgMemPooled,inboundBytesRate,diskReadOperationsRate,routeRecoverCount,diskWriteOperationsRate,outboundBytesRate,RespTime
Mon Feb 12 15:50:01 285 CST 2024,2,2,9,5,2,0,6,0,0,0,7,17195,0,2,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 15:50:31 308 CST 2024,3,4,9,7,2,0,8,0,0,0,9,21859,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:51:01 326 CST 2024,3,4,9,7,2,0,10,0,0,0,11,21859,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 15:51:31 341 CST 2024,3,4,9,7,2,0,12,0,0,0,13,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:52:01 357 CST 2024,3,4,9,7,2,0,14,0,0,0,15,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:52:31 365 CST 2024,3,4,9,7,2,0,16,0,0,0,17,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:53:01 387 CST 2024,3,4,9,7,2,0,18,0,0,0,19,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 15:53:31 411 CST 2024,3,4,9,7,2,0,20,0,0,0,21,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:54:01 429 CST 2024,3,4,9,7,2,0,22,0,0,0,23,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,0
Mon Feb 12 15:54:31 445 CST 2024,3,4,9,7,2,0,24,0,0,0,25,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:55:01 479 CST 2024,3,4,9,7,2,0,26,0,0,0,27,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:55:31 492 CST 2024,3,4,9,7,2,0,28,0,0,0,29,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 15:56:01 525 CST 2024,3,4,9,7,2,0,30,0,0,0,31,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:56:31 535 CST 2024,3,4,9,7,2,0,32,0,0,0,33,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:57:01 577 CST 2024,3,4,9,7,2,0,34,0,0,0,35,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:57:31 583 CST 2024,3,4,9,7,2,0,36,0,0,0,37,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:58:01 597 CST 2024,3,4,9,7,2,0,38,0,0,0,39,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:58:31 606 CST 2024,3,4,9,7,2,0,42,0,0,0,43,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 15:59:01 612 CST 2024,3,4,9,7,2,0,45,0,0,0,46,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 15:59:31 619 CST 2024,3,4,9,7,2,0,48,0,0,0,49,21860,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
