timestamp,producerCount,consumerCount,queueCount,topicCount,inboundMessageCount,outboundMessageRate,pendingMessageSize,pendingMessageCount,outboundMessageCount,inboundMessageRate,sessionCount,msgMem,asyncDBSize,syncDBSize,diskReadRate,diskWriteRate,connectionCount,durableCount,routeRecoverCount,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,outboundBytesRate,msgMemPooled,RespTime
Tue Feb 13 10:36:56 202 CST 2024,1,3,8,7,1528,0,0,0,1530,0,2,18420,3072,1536,0,0,2,0,0,0,0,0,0,53248,15
Tue Feb 13 10:37:26 215 CST 2024,1,3,8,7,1531,0,0,0,1533,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:37:56 228 CST 2024,1,3,8,7,1534,0,0,0,1536,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:38:26 246 CST 2024,1,3,8,7,1537,0,0,0,1539,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:38:56 253 CST 2024,1,3,8,7,1540,0,0,0,1542,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:39:26 262 CST 2024,1,3,8,7,1543,0,0,0,1545,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,3
Tue Feb 13 10:39:56 279 CST 2024,1,3,8,7,1546,0,0,0,1548,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,4
Tue Feb 13 10:40:26 291 CST 2024,1,3,8,7,1549,0,0,0,1551,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,0
Tue Feb 13 10:40:56 307 CST 2024,1,3,8,7,1552,0,0,0,1554,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:41:26 323 CST 2024,1,3,8,7,1555,0,0,0,1557,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:41:56 345 CST 2024,1,3,8,7,1558,0,0,0,1560,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,4
Tue Feb 13 10:42:26 360 CST 2024,1,3,8,7,1561,0,0,0,1563,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,0
Tue Feb 13 10:42:56 376 CST 2024,1,3,8,7,1564,0,0,0,1566,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:43:26 386 CST 2024,1,3,8,7,1567,0,0,0,1569,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:43:56 402 CST 2024,1,3,8,7,1570,0,0,0,1572,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:44:26 408 CST 2024,1,3,8,7,1573,0,0,0,1575,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:44:56 422 CST 2024,1,3,8,7,1576,0,0,0,1578,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,4
Tue Feb 13 10:45:26 439 CST 2024,1,3,8,7,1579,0,0,0,1581,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,3
Tue Feb 13 10:45:56 445 CST 2024,1,3,8,7,1582,0,0,0,1584,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,0
Tue Feb 13 10:46:26 455 CST 2024,1,3,8,7,1585,0,0,0,1587,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:46:56 462 CST 2024,1,3,8,7,1588,0,0,0,1590,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,4
Tue Feb 13 10:47:26 472 CST 2024,1,3,8,7,1591,0,0,0,1593,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:47:56 482 CST 2024,1,3,8,7,1594,0,0,0,1596,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:48:26 497 CST 2024,1,3,8,7,1597,0,0,0,1599,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,3
Tue Feb 13 10:48:56 508 CST 2024,1,3,8,7,1600,0,0,0,1602,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,4
Tue Feb 13 10:49:26 530 CST 2024,1,3,8,7,1603,0,0,0,1605,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,3
Tue Feb 13 10:49:56 547 CST 2024,1,3,8,7,1606,0,0,0,1608,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:50:26 581 CST 2024,1,3,8,7,1609,0,0,0,1611,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,2
Tue Feb 13 10:50:56 595 CST 2024,1,3,8,7,1612,0,0,0,1614,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,2
Tue Feb 13 10:51:26 620 CST 2024,1,3,8,7,1615,0,0,0,1617,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,5
Tue Feb 13 10:51:56 638 CST 2024,1,3,8,7,1618,0,0,0,1620,0,2,18421,3072,1536,0,0,2,0,0,0,0,0,0,53248,3
Tue Feb 13 10:52:26 657 CST 2024,1,3,8,7,1623,0,0,0,1625,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:52:56 677 CST 2024,1,3,8,7,1626,0,0,0,1628,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:53:26 684 CST 2024,1,3,8,7,1629,0,0,0,1631,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:53:56 687 CST 2024,1,3,8,7,1632,0,0,0,1634,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,0
Tue Feb 13 10:54:26 716 CST 2024,1,3,8,7,1635,0,0,0,1637,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,8
Tue Feb 13 10:54:56 726 CST 2024,1,3,8,7,1638,0,0,0,1640,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,0
Tue Feb 13 10:55:26 749 CST 2024,1,3,8,7,1641,0,0,0,1643,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,3
Tue Feb 13 10:55:56 752 CST 2024,1,3,8,7,1644,0,0,0,1646,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:56:26 762 CST 2024,1,3,8,7,1647,0,0,0,1649,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:56:56 790 CST 2024,1,3,8,7,1650,0,0,0,1652,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,4
Tue Feb 13 10:57:26 805 CST 2024,1,3,8,7,1653,0,0,0,1655,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,5
Tue Feb 13 10:57:56 814 CST 2024,1,3,8,7,1656,0,0,0,1658,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:58:26 822 CST 2024,1,3,8,7,1659,0,0,0,1661,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:58:56 838 CST 2024,1,3,8,7,1662,0,0,0,1664,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:59:26 851 CST 2024,1,3,8,7,1665,0,0,0,1667,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 10:59:56 859 CST 2024,1,3,8,7,1668,0,0,0,1670,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,6
Tue Feb 13 11:00:26 882 CST 2024,1,3,8,7,1671,0,0,0,1673,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,2
Tue Feb 13 11:00:56 903 CST 2024,1,3,8,7,1674,0,0,0,1676,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,5
Tue Feb 13 11:01:26 941 CST 2024,1,3,8,7,1677,0,0,0,1679,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,27
Tue Feb 13 11:01:56 986 CST 2024,1,3,8,7,1680,0,0,0,1682,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,6
Tue Feb 13 11:02:27 003 CST 2024,1,3,8,7,1683,0,0,0,1685,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,0
Tue Feb 13 11:02:57 017 CST 2024,1,3,8,7,1686,0,0,0,1688,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,5
Tue Feb 13 11:03:27 040 CST 2024,1,3,8,7,1689,0,0,0,1691,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,6
Tue Feb 13 11:03:57 055 CST 2024,1,3,8,7,1692,0,0,0,1694,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,4
Tue Feb 13 11:04:27 061 CST 2024,1,3,8,7,1696,0,0,0,1698,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,1
Tue Feb 13 11:04:57 074 CST 2024,1,3,8,7,1699,0,0,0,1701,0,2,18586,3072,1536,0,0,2,0,0,0,0,0,0,53248,4
Tue Feb 13 11:05:27 109 CST 2024,3,4,9,7,1710,0,0,0,1712,0,5,23186,3584,1536,0,0,3,0,0,0,0,0,0,53248,16
Tue Feb 13 11:05:57 119 CST 2024,3,4,9,7,1713,0,0,0,1715,0,5,23186,3584,1536,0,0,3,0,0,0,0,0,0,53248,2
Tue Feb 13 11:06:27 143 CST 2024,3,4,9,7,1716,0,0,0,1718,0,5,23186,3584,1536,0,0,3,0,0,0,0,0,0,53248,14
Tue Feb 13 11:06:57 168 CST 2024,3,5,9,8,1720,0,0,0,1722,0,6,27850,3584,1536,0,0,4,0,0,0,0,0,0,53248,6
Tue Feb 13 11:07:27 186 CST 2024,3,5,9,8,1728,0,0,0,1730,0,6,27850,3584,1536,0,0,4,0,0,0,0,137,196,53248,1
Tue Feb 13 11:07:57 194 CST 2024,3,5,9,8,1735,0,0,0,1737,0,6,27850,3584,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:08:27 210 CST 2024,3,5,9,8,1743,0,0,0,1745,0,6,27850,3584,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:08:57 223 CST 2024,2,4,9,8,1751,0,0,0,1753,0,5,27557,3584,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:09:27 235 CST 2024,2,4,9,8,1759,0,0,0,1761,0,5,27557,3584,1536,0,0,4,0,0,0,0,136,195,53248,5
Tue Feb 13 11:09:57 254 CST 2024,4,5,9,8,1774,0,0,0,1779,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,9
Tue Feb 13 11:10:27 258 CST 2024,4,5,9,8,1781,0,0,0,1786,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:10:57 275 CST 2024,4,5,9,8,1789,0,0,0,1794,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,3
Tue Feb 13 11:11:27 291 CST 2024,4,5,9,8,1797,0,0,0,1802,0,8,29246,3072,1536,0,0,4,0,0,0,0,137,221,53248,1
Tue Feb 13 11:11:57 294 CST 2024,4,5,9,8,1805,0,0,0,1810,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:12:27 300 CST 2024,4,5,9,8,1812,0,0,0,1817,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:12:57 324 CST 2024,4,5,9,8,1820,0,0,0,1825,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,2
Tue Feb 13 11:13:27 336 CST 2024,4,5,9,8,1828,0,0,0,1833,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:13:57 351 CST 2024,4,5,9,8,1836,0,0,0,1841,0,8,29246,3072,1536,0,0,4,0,0,0,0,137,221,53248,0
Tue Feb 13 11:14:27 370 CST 2024,4,5,9,8,1844,0,0,0,1849,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,3
Tue Feb 13 11:14:57 378 CST 2024,4,5,9,8,1851,0,0,0,1856,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:15:27 395 CST 2024,4,5,9,8,1859,0,0,0,1864,0,8,29246,3072,1536,0,0,4,0,0,0,0,0,0,53248,1
Tue Feb 13 11:15:57 399 CST 2024,3,4,9,8,1867,0,0,0,1872,0,7,28953,3072,1536,0,0,4,0,0,0,0,273,440,53248,1
Tue Feb 13 11:16:27 407 CST 2024,3,4,9,8,1875,0,0,0,1880,0,7,28953,3072,1536,0,0,4,0,0,0,0,137,221,53248,1
Tue Feb 13 11:16:57 418 CST 2024,3,4,9,8,1883,0,0,0,1888,0,7,28953,3072,1536,0,0,4,0,0,0,0,0,0,53248,3
Tue Feb 13 11:17:27 434 CST 2024,3,4,9,8,1890,0,0,0,1895,0,7,28953,3072,1536,0,0,4,0,0,0,0,0,0,53248,0
Tue Feb 13 11:17:57 455 CST 2024,3,4,9,8,1898,0,0,0,1903,0,7,28953,3072,1536,0,0,4,0,0,0,0,0,0,53248,7
Tue Feb 13 11:18:27 466 CST 2024,3,4,9,8,1906,0,0,0,1911,0,7,28953,3072,1536,0,0,4,0,0,0,0,0,0,53248,5
Tue Feb 13 11:18:57 487 CST 2024,3,4,8,8,1914,0,0,0,1919,0,7,28953,3072,1536,0,0,4,0,0,0,0,137,220,53248,3
