timestamp,topicCount,producerCount,consumerCount,queueCount,inboundMessageCount,pendingMessageCount,pendingMessageSize,outboundMessageCount,outboundMessageRate,inboundMessageRate,sessionCount,connectionCount,msgMem,syncDBSize,durableCount,asyncDBSize,diskReadRate,diskWriteRate,diskReadOperationsRate,routeRecoverCount,inboundBytesRate,outboundBytesRate,diskWriteOperationsRate,msgMemPooled,RespTime
Wed Feb 14 10:15:14 962 CST 2024,5,1,1,8,4,0,0,3,2,2,1,1,12531,2048,0,3584,0,0,0,0,507,3365,0,53248,1
Wed Feb 14 10:15:45 021 CST 2024,7,1,3,8,6,0,0,5,0,0,2,2,17195,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:16:15 050 CST 2024,7,1,3,8,11,0,0,10,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:16:45 065 CST 2024,7,1,3,8,13,0,0,12,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:17:15 071 CST 2024,7,1,3,8,15,0,0,14,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:17:46 534 CST 2024,7,1,3,8,17,0,0,16,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1453
Wed Feb 14 10:18:16 552 CST 2024,7,1,3,8,18,0,0,17,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:18:46 566 CST 2024,7,1,3,8,20,0,0,19,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,3
Wed Feb 14 10:19:16 572 CST 2024,7,1,3,8,22,0,0,21,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:19:46 577 CST 2024,7,1,3,8,24,0,0,23,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:20:16 588 CST 2024,7,1,3,8,26,0,0,25,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:20:46 599 CST 2024,7,1,3,8,28,0,0,27,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,4
Wed Feb 14 10:21:16 606 CST 2024,7,1,3,8,30,0,0,29,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:21:46 614 CST 2024,7,1,3,8,32,0,0,31,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,4
Wed Feb 14 10:22:16 621 CST 2024,7,1,3,8,34,0,0,33,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:22:46 634 CST 2024,7,1,3,8,36,0,0,35,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:23:16 642 CST 2024,7,1,3,8,38,0,0,37,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:23:46 653 CST 2024,7,1,3,8,40,0,0,39,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:24:16 664 CST 2024,7,1,3,8,42,0,0,41,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:24:46 668 CST 2024,7,1,3,8,44,0,0,43,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:25:16 684 CST 2024,7,1,3,8,46,0,0,45,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:25:46 696 CST 2024,7,1,3,8,48,0,0,47,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,2
Wed Feb 14 10:26:16 713 CST 2024,7,1,3,8,50,0,0,49,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,2
Wed Feb 14 10:26:46 724 CST 2024,7,1,3,8,52,0,0,51,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,2
Wed Feb 14 10:27:16 743 CST 2024,7,1,3,8,54,0,0,53,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:27:46 755 CST 2024,7,1,3,8,56,0,0,55,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:28:16 773 CST 2024,7,1,3,8,58,0,0,57,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,2
Wed Feb 14 10:28:46 778 CST 2024,7,1,3,8,60,0,0,59,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
Wed Feb 14 10:29:16 785 CST 2024,7,1,3,8,62,0,0,61,0,0,2,2,17196,2048,0,3584,0,0,0,0,0,0,0,53248,1
