timestamp,pendingMessageCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,consumerCount,producerCount,queueCount,topicCount,connectionCount,sessionCount,durableCount,diskWriteRate,diskReadRate,syncDBSize,asyncDBSize,msgMem,msgMemPooled,diskWriteOperationsRate,inboundBytesRate,diskReadOperationsRate,outboundBytesRate,routeRecoverCount,RespTime
Fri Feb 16 11:39:51 435 CST 2024,6,6574,46,0,45,0,3,12,10,6,2,19,3,0,0,2048,36352,20195,53248,0,0,0,0,0,1
Fri Feb 16 11:40:21 470 CST 2024,6,6574,54,0,53,0,5,13,10,8,3,21,3,1031,0,2048,36352,24860,53248,1,599,0,599,0,11
Fri Feb 16 11:40:51 492 CST 2024,6,6574,57,0,56,0,3,10,8,8,3,17,3,0,0,2048,36352,24860,53248,0,0,0,0,0,2
Fri Feb 16 11:41:21 511 CST 2024,6,6574,60,0,59,0,3,10,8,8,3,17,3,0,0,2048,36352,24860,53248,0,0,0,0,0,2
Fri Feb 16 11:41:51 521 CST 2024,6,6574,63,0,62,0,3,10,8,8,3,17,3,0,0,2048,36352,24860,53248,0,0,0,0,0,1
Fri Feb 16 11:42:21 539 CST 2024,6,6574,66,0,65,0,3,10,8,8,3,17,3,0,0,2048,36352,24860,53248,0,0,0,0,0,5
Fri Feb 16 11:42:51 554 CST 2024,6,6574,69,0,68,0,3,10,8,8,3,17,3,0,0,2048,36352,24860,53248,0,0,0,0,0,1
Fri Feb 16 11:43:21 564 CST 2024,6,6574,72,0,71,0,3,10,8,8,3,17,3,0,0,2048,36352,24860,53248,0,0,0,0,0,5
Fri Feb 16 11:43:51 570 CST 2024,6,6574,75,0,74,0,3,10,8,8,3,17,3,0,0,2048,36352,24860,53248,0,0,0,0,0,1
Fri Feb 16 11:44:21 592 CST 2024,6,6574,78,0,77,0,3,10,8,8,3,17,3,0,0,2048,36352,24860,53248,0,0,0,0,0,4
