timestamp,pendingMessageCount,largeDestCount,outboundMessageCount,outboundMessageRate,connectionCount,inboundMessageRate,inboundMessageCount,pendingMessageSize,diskReadRate,diskWriteRate,durableCount,msgMem,asyncDBSize,sessionCount,syncDBSize,topicCount,queueCount,consumerCount,producerCount,msgMemPooled,routeRecoverCount,outboundBytesRate,diskWriteOperationsRate,adminConnectionCount,inboundBytesRate,diskReadOperationsRate,clientConnectionCount,RespTime
Mon Feb 17 22:54:44 746 CET 2020,0,-1,6,0,2,0,7,0,0,0,0,17197,3072,2,1536,6,9,2,2,53248,0,0,0,2,0,0,0,1
timestamp,connectionCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,pendingMessageCount,outboundMessageRate,outboundMessageCount,sessionCount,asyncDBSize,durableCount,msgMem,diskReadRate,syncDBSize,diskWriteRate,queueCount,topicCount,producerCount,consumerCount,largeDestCount,msgMemPooled,routeRecoverCount,diskWriteOperationsRate,outboundBytesRate,adminConnectionCount,clientConnectionCount,diskReadOperationsRate,inboundBytesRate,RespTime
Mon Feb 17 22:54:51 141 CET 2020,2,0,12,0,0,0,11,2,3072,0,17525,0,1536,0,9,6,2,2,-1,53248,0,0,0,2,0,0,0,1
Mon Feb 17 22:55:11 152 CET 2020,3,0,16,0,0,0,15,3,3072,0,22189,0,1536,0,9,8,2,4,-1,53248,0,0,0,2,1,0,0,2
Mon Feb 17 22:55:31 155 CET 2020,3,0,19,0,0,0,18,3,3072,0,22190,0,1536,0,9,8,2,4,-1,53248,0,0,0,2,1,0,0,1
Mon Feb 17 22:55:51 159 CET 2020,3,0,22,0,0,0,21,3,3072,0,22190,0,1536,0,9,8,2,4,-1,53248,0,0,0,2,1,0,0,2
Mon Feb 17 22:56:11 162 CET 2020,3,0,25,0,0,0,24,3,3072,0,22190,0,1536,0,9,8,2,4,-1,53248,0,0,0,2,1,0,0,0
Mon Feb 17 22:56:31 166 CET 2020,3,0,28,0,0,0,27,3,3072,0,22190,0,1536,0,9,8,2,4,-1,53248,0,0,0,2,1,0,0,2
Mon Feb 17 22:56:51 170 CET 2020,3,0,31,0,0,0,30,3,3072,0,22190,0,1536,0,9,8,2,4,-1,53248,0,0,0,2,1,0,0,2
Mon Feb 17 22:57:11 175 CET 2020,3,0,34,0,0,0,33,3,3072,0,22190,0,1536,0,9,8,2,4,-1,53248,0,0,0,2,1,0,0,2
timestamp,largeDestCount,pendingMessageCount,outboundMessageCount,inboundMessageCount,connectionCount,outboundMessageRate,pendingMessageSize,inboundMessageRate,producerCount,consumerCount,topicCount,queueCount,msgMem,asyncDBSize,diskReadRate,sessionCount,diskWriteRate,durableCount,syncDBSize,routeRecoverCount,clientConnectionCount,adminConnectionCount,diskWriteOperationsRate,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,msgMemPooled,RespTime
Mon Feb 17 23:26:20 156 CET 2020,-1,0,7,8,2,0,0,0,2,2,7,9,17197,3072,0,2,0,0,1536,0,0,2,0,0,0,0,53248,1
Mon Feb 17 23:26:40 165 CET 2020,-1,0,11,12,3,0,0,0,2,4,9,9,21861,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,2
Mon Feb 17 23:27:00 170 CET 2020,-1,0,14,15,3,0,0,0,2,4,9,9,21862,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,2
Mon Feb 17 23:27:20 175 CET 2020,-1,0,17,18,3,0,0,0,2,4,9,9,21862,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,2
Mon Feb 17 23:27:40 178 CET 2020,-1,0,20,21,3,0,0,0,2,4,9,9,21862,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,1
Mon Feb 17 23:28:00 183 CET 2020,-1,0,23,24,3,0,0,0,2,4,9,9,21862,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,2
Mon Feb 17 23:28:20 187 CET 2020,-1,0,26,27,3,0,0,0,2,4,9,9,21862,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,2
Mon Feb 17 23:28:40 190 CET 2020,-1,0,29,30,3,0,0,0,2,4,9,9,21862,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,1
Mon Feb 17 23:29:00 194 CET 2020,-1,0,32,33,3,0,0,0,2,4,9,9,21862,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,2
Mon Feb 17 23:29:20 198 CET 2020,-1,0,36,37,2,0,0,0,1,3,9,8,17691,3072,0,2,0,0,1536,0,1,1,0,0,0,0,53248,2
Mon Feb 17 23:29:40 203 CET 2020,-1,0,40,41,3,0,0,0,2,4,9,9,22355,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,2
Mon Feb 17 23:30:00 207 CET 2020,-1,0,46,47,3,0,0,0,2,4,9,9,22355,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,2
Mon Feb 17 23:30:20 210 CET 2020,-1,0,49,50,3,0,0,0,2,4,9,9,22355,3072,0,3,0,0,1536,0,1,2,0,0,0,0,53248,1
