timestamp,connectionCount,pendingMessageCount,pendingMessageSize,inboundMessageCount,outboundMessageCount,outboundMessageRate,inboundMessageRate,producerCount,consumerCount,topicCount,queueCount,largeDestCount,msgMem,asyncDBSize,diskWriteRate,sessionCount,diskReadRate,syncDBSize,durableCount,outboundBytesRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,inboundBytesRate,routeRecoverCount,diskReadOperationsRate,msgMemPooled,RespTime
Tue Feb 18 21:06:08 037 CET 2020,1,0,0,4,3,0,0,1,1,7,8,-1,12531,3584,0,1,0,2048,0,0,0,1,0,0,0,0,53248,1
Tue Feb 18 21:06:38 048 CET 2020,2,0,0,11,10,0,0,1,3,9,8,-1,17196,3584,0,2,0,2048,0,0,0,1,1,0,0,0,53248,2
Tue Feb 18 21:07:08 054 CET 2020,2,0,0,14,13,0,0,1,3,9,8,-1,17196,3584,0,2,0,2048,0,0,0,1,1,0,0,0,53248,2
Tue Feb 18 21:07:38 059 CET 2020,2,0,0,17,16,0,0,1,3,9,8,-1,17196,3584,0,2,0,2048,0,0,0,1,1,0,0,0,53248,2
Tue Feb 18 21:08:08 061 CET 2020,2,0,0,20,19,0,0,1,3,9,8,-1,17196,3584,0,2,0,2048,0,0,0,1,1,0,0,0,53248,1
Tue Feb 18 21:08:38 065 CET 2020,3,0,0,25,24,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:09:08 070 CET 2020,3,0,0,28,27,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:09:38 075 CET 2020,3,0,0,32,31,1,1,2,4,9,9,-1,21860,3584,0,3,0,2048,0,151,0,2,1,185,0,0,53248,2
Tue Feb 18 21:10:08 078 CET 2020,3,0,0,35,34,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:10:38 082 CET 2020,3,0,0,38,37,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:11:08 085 CET 2020,3,0,0,41,40,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:11:38 090 CET 2020,3,0,0,44,43,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:12:08 095 CET 2020,3,0,0,47,46,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:12:38 098 CET 2020,3,0,0,50,49,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:13:08 102 CET 2020,3,0,0,53,52,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:13:38 107 CET 2020,3,0,0,56,55,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:14:08 127 CET 2020,3,0,0,59,58,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:14:38 130 CET 2020,3,0,0,62,61,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:15:08 134 CET 2020,3,0,0,65,64,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:15:38 137 CET 2020,3,0,0,68,67,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:16:08 140 CET 2020,3,0,0,71,70,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:16:38 142 CET 2020,3,0,0,74,73,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:17:08 146 CET 2020,3,0,0,77,76,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:17:38 149 CET 2020,3,0,0,80,79,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:18:08 152 CET 2020,3,0,0,83,82,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:18:38 155 CET 2020,3,0,0,86,85,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:19:08 160 CET 2020,3,0,0,89,88,0,0,2,4,9,9,-1,21860,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:19:38 163 CET 2020,2,0,0,93,92,0,0,1,3,9,8,-1,17689,3584,0,2,0,2048,0,0,0,1,1,0,0,0,53248,1
Tue Feb 18 21:20:08 167 CET 2020,3,0,0,99,98,0,0,2,4,9,9,-1,22353,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:20:38 169 CET 2020,3,0,0,102,101,0,0,2,4,9,9,-1,22353,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:21:08 170 CET 2020,3,0,0,105,104,0,0,2,4,9,9,-1,22353,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:21:38 172 CET 2020,3,0,0,108,107,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:22:08 175 CET 2020,3,0,0,111,110,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:22:38 179 CET 2020,3,0,0,114,113,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:23:08 182 CET 2020,3,0,0,117,116,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:23:38 185 CET 2020,3,0,0,120,119,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:24:08 188 CET 2020,3,0,0,123,122,0,0,2,4,9,9,-1,22354,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
