timestamp,connectionCount,pendingMessageSize,pendingMessageCount,inboundMessageRate,inboundMessageCount,outboundMessageRate,outboundMessageCount,consumerCount,topicCount,queueCount,producerCount,largeDestCount,msgMem,sessionCount,durableCount,syncDBSize,asyncDBSize,diskReadRate,diskWriteRate,routeRecoverCount,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,clientConnectionCount,adminConnectionCount,diskWriteOperationsRate,msgMemPooled,RespTime
Thu Feb 20 21:53:10 920 CET 2020,2,693,6,3,16,3,14,2,7,9,2,-1,20554,2,0,1536,12288,0,0,0,540,3619,0,0,2,0,53248,1
Thu Feb 20 21:53:40 942 CET 2020,4,810,7,0,25,0,22,4,9,9,3,-1,30246,4,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,14
Thu Feb 20 21:54:10 948 CET 2020,4,810,7,0,28,0,25,4,9,9,3,-1,30246,4,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 21:54:40 952 CET 2020,4,810,7,0,31,0,28,4,9,9,3,-1,30246,4,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 21:55:10 956 CET 2020,4,810,7,0,34,0,31,4,9,9,3,-1,30246,4,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 21:55:40 960 CET 2020,4,810,7,0,37,0,34,4,9,9,3,-1,30246,4,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 21:56:10 965 CET 2020,4,810,7,0,40,0,37,4,9,9,3,-1,30246,4,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 21:56:40 968 CET 2020,4,810,7,0,43,0,40,4,9,9,3,-1,30246,4,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 21:57:10 974 CET 2020,4,810,7,0,46,0,43,4,9,9,3,-1,30246,4,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,4
Thu Feb 20 21:57:40 985 CET 2020,4,927,8,0,50,0,46,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,10
Thu Feb 20 21:58:10 990 CET 2020,4,927,8,0,53,0,49,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 21:58:40 992 CET 2020,4,927,8,0,56,0,52,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 21:59:10 997 CET 2020,4,927,8,0,59,0,55,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 21:59:41 001 CET 2020,4,927,8,0,62,0,58,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:00:11 006 CET 2020,4,927,8,0,65,0,61,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:00:41 011 CET 2020,4,927,8,0,68,0,64,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:01:11 031 CET 2020,4,927,8,0,71,0,67,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:01:41 036 CET 2020,4,927,8,0,74,0,70,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:02:11 040 CET 2020,4,927,8,0,77,0,73,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:02:41 045 CET 2020,4,927,8,0,80,0,76,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:03:11 049 CET 2020,4,927,8,0,83,0,79,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:03:41 053 CET 2020,4,927,8,0,86,0,82,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:04:11 054 CET 2020,4,927,8,0,89,0,85,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,0
Thu Feb 20 22:04:41 056 CET 2020,4,927,8,0,92,0,88,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:05:11 062 CET 2020,4,927,8,0,95,0,91,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:05:41 065 CET 2020,4,927,8,0,98,0,94,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:06:11 070 CET 2020,4,927,8,0,101,0,97,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:06:41 074 CET 2020,4,927,8,0,104,0,100,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,3
Thu Feb 20 22:07:11 080 CET 2020,4,927,8,0,107,0,103,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:07:41 083 CET 2020,4,927,8,0,110,0,106,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:08:11 084 CET 2020,4,927,8,0,113,0,109,4,9,9,4,-1,30574,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:08:41 088 CET 2020,4,927,8,0,116,0,112,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:09:11 091 CET 2020,4,927,8,0,119,0,115,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:09:41 093 CET 2020,4,927,8,0,122,0,118,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,0
Thu Feb 20 22:10:11 094 CET 2020,4,927,8,0,125,0,121,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:10:41 099 CET 2020,4,927,8,0,128,0,124,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:11:11 103 CET 2020,4,927,8,0,131,0,127,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:11:41 106 CET 2020,4,927,8,0,134,0,130,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:12:11 107 CET 2020,4,927,8,0,137,0,133,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,0
Thu Feb 20 22:12:41 109 CET 2020,4,927,8,0,140,0,136,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:13:11 127 CET 2020,4,927,8,0,143,0,139,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,8
Thu Feb 20 22:13:41 133 CET 2020,4,927,8,0,146,0,142,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:14:11 135 CET 2020,4,927,8,0,149,0,145,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,0
Thu Feb 20 22:14:41 137 CET 2020,4,927,8,0,152,0,148,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,0
Thu Feb 20 22:15:11 140 CET 2020,4,927,8,0,155,0,151,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:15:41 144 CET 2020,4,927,8,0,158,0,154,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:16:11 147 CET 2020,4,927,8,0,161,0,157,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:16:41 151 CET 2020,4,927,8,0,164,0,160,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:17:11 154 CET 2020,4,927,8,0,167,0,163,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:17:41 157 CET 2020,4,927,8,0,170,0,166,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:18:11 158 CET 2020,4,927,8,0,173,0,169,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:18:41 161 CET 2020,4,927,8,0,176,0,172,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:19:11 165 CET 2020,4,927,8,0,179,0,175,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:19:41 168 CET 2020,4,927,8,0,182,0,178,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:20:11 171 CET 2020,4,927,8,0,185,0,181,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:20:41 175 CET 2020,4,927,8,0,188,0,184,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:21:11 179 CET 2020,4,927,8,0,191,0,187,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:21:41 184 CET 2020,4,927,8,0,194,0,190,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:22:11 187 CET 2020,4,927,8,0,197,0,193,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,1
Thu Feb 20 22:22:41 190 CET 2020,4,927,8,0,200,0,196,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:23:11 193 CET 2020,4,927,8,0,203,0,199,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:23:41 198 CET 2020,4,927,8,0,206,0,202,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:24:11 202 CET 2020,4,927,8,0,209,0,205,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
Thu Feb 20 22:24:41 205 CET 2020,4,927,8,0,212,0,208,4,9,9,4,-1,30575,5,0,1536,12288,0,0,0,0,0,0,2,2,0,53248,2
