timestamp,topicCount,consumerCount,queueCount,producerCount,sessionCount,connectionCount,durableCount,msgMem,diskReadRate,diskWriteRate,syncDBSize,asyncDBSize,pendingMessageCount,pendingMessageSize,outboundMessageCount,inboundMessageCount,inboundMessageRate,outboundMessageRate,routeRecoverCount,diskReadOperationsRate,outboundBytesRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,RespTime
Wed Feb 21 15:08:48 734 CST 2024,6,1,8,1,1,1,3,14827,0,0,1536,36352,6,6574,2028,2029,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:09:18 759 CST 2024,8,3,8,1,2,2,3,19491,0,0,1536,36352,6,6574,2030,2031,0,0,0,0,0,0,0,53248,2
Wed Feb 21 15:09:48 774 CST 2024,8,3,8,1,2,2,3,19491,0,0,1536,36352,6,6574,2032,2033,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:10:18 780 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2034,2035,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:10:48 786 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2036,2037,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:11:18 796 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2038,2039,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:11:48 805 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2040,2041,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:12:18 832 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2042,2043,0,0,0,0,0,0,0,53248,5
Wed Feb 21 15:12:48 863 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2044,2045,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:13:18 867 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2046,2047,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:13:48 873 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2048,2049,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:14:18 884 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2050,2051,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:14:48 896 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2052,2053,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:15:18 901 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2054,2055,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:15:48 911 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2056,2057,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:16:18 927 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2058,2059,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:16:48 940 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2060,2061,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:17:18 960 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2062,2063,0,0,0,0,0,0,0,53248,2
Wed Feb 21 15:17:48 973 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2064,2065,0,0,0,0,0,0,0,53248,3
Wed Feb 21 15:18:18 983 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2066,2067,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:18:48 995 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2068,2069,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:19:18 997 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2070,2071,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:19:49 004 CST 2024,8,3,8,1,2,2,3,19492,0,0,1536,36352,6,6574,2072,2073,0,0,0,0,0,0,0,53248,1
