timestamp,inboundMessageRate,pendingMessageSize,inboundMessageCount,outboundMessageRate,pendingMessageCount,connectionCount,outboundMessageCount,largeDestCount,producerCount,topicCount,queueCount,consumerCount,syncDBSize,sessionCount,asyncDBSize,durableCount,msgMem,diskReadRate,diskWriteRate,msgMemPooled,diskReadOperationsRate,diskWriteOperationsRate,routeRecoverCount,inboundBytesRate,outboundBytesRate,clientConnectionCount,adminConnectionCount,RespTime
Thu Aug 29 17:30:55 884 BST 2019,0,2078,6,0,5,1,5,0,1,5,10,1,2048,1,560128,0,14666,0,0,53248,0,0,0,0,0,-1,-1,2
Thu Aug 29 17:31:25 899 BST 2019,0,2078,8,0,5,2,7,0,1,7,10,3,2048,2,560128,0,19330,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:31:55 907 BST 2019,0,2078,12,0,5,2,11,0,1,7,10,3,2048,2,560128,0,19331,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:32:25 909 BST 2019,0,2078,15,0,5,2,14,0,1,7,10,3,2048,2,560128,0,19331,0,0,53248,0,0,0,0,0,-1,-1,0
Thu Aug 29 17:32:55 914 BST 2019,0,2078,18,0,5,2,17,0,1,7,10,3,2048,2,560128,0,19331,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:33:25 934 BST 2019,0,2078,21,0,5,2,20,0,1,7,10,3,2048,2,560128,0,19331,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:33:55 938 BST 2019,0,2078,24,0,5,2,23,0,1,7,10,3,2048,2,560128,0,19331,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:34:25 947 BST 2019,0,2078,28,0,5,2,27,0,1,7,10,3,2048,2,560128,0,19331,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:34:55 962 BST 2019,0,2078,31,0,5,2,30,0,1,7,10,3,2048,2,560128,0,19331,0,0,53248,0,0,0,0,0,-1,-1,0
Thu Aug 29 17:35:25 973 BST 2019,0,1582,36,0,3,2,35,0,1,7,10,3,2048,2,568832,0,18675,0,0,53248,0,0,0,0,0,-1,-1,7
Thu Aug 29 17:35:56 002 BST 2019,0,0,41,0,0,2,40,0,1,7,10,3,1536,2,562176,0,17691,0,0,53248,0,0,0,0,0,-1,-1,18
Thu Aug 29 17:36:26 031 BST 2019,0,0,44,0,0,2,43,0,1,7,8,3,2048,2,11776,0,17691,0,0,53248,0,0,0,0,0,-1,-1,21
Thu Aug 29 17:36:56 034 BST 2019,0,0,47,0,0,2,46,0,1,7,8,3,2048,2,11776,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:37:26 043 BST 2019,0,0,50,0,0,2,49,0,1,7,8,3,2048,2,3584,0,17691,0,0,53248,0,0,0,0,0,-1,-1,8
Thu Aug 29 17:37:56 044 BST 2019,0,0,53,0,0,2,52,0,1,7,8,3,2048,2,3584,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:38:26 055 BST 2019,0,0,56,0,0,2,55,0,1,7,8,3,2048,2,3584,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:38:56 065 BST 2019,0,0,59,0,0,2,58,0,1,7,8,3,2048,2,3584,0,17691,0,0,53248,0,0,0,0,0,-1,-1,0
Thu Aug 29 17:39:26 070 BST 2019,0,0,62,0,0,2,61,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,3
Thu Aug 29 17:39:56 086 BST 2019,0,0,65,0,0,2,64,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:40:26 097 BST 2019,0,0,69,0,0,2,68,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:40:56 110 BST 2019,0,0,72,0,0,2,71,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:41:26 112 BST 2019,0,0,75,0,0,2,74,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:41:56 117 BST 2019,0,0,78,0,0,2,77,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,0
Thu Aug 29 17:42:26 121 BST 2019,0,0,81,0,0,2,80,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:42:56 124 BST 2019,0,0,84,0,0,2,83,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:43:26 129 BST 2019,0,0,87,0,0,2,86,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,0
Thu Aug 29 17:43:56 135 BST 2019,0,0,90,0,0,2,89,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:44:26 146 BST 2019,0,0,93,0,0,2,92,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:44:56 150 BST 2019,0,0,96,0,0,2,95,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:45:26 153 BST 2019,0,0,99,0,0,2,98,0,1,7,8,3,2048,2,3072,0,17691,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:45:56 154 BST 2019,0,0,102,0,0,2,101,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:46:26 158 BST 2019,0,0,105,0,0,2,104,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:46:56 160 BST 2019,0,0,108,0,0,2,107,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:47:26 164 BST 2019,0,0,111,0,0,2,110,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:47:56 174 BST 2019,0,0,114,0,0,2,113,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:48:26 178 BST 2019,0,0,117,0,0,2,116,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:48:56 182 BST 2019,0,0,120,0,0,2,119,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:49:26 187 BST 2019,0,0,123,0,0,2,122,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:49:56 190 BST 2019,0,0,126,0,0,2,125,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,0
Thu Aug 29 17:50:26 192 BST 2019,0,0,129,0,0,2,128,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,0
Thu Aug 29 17:50:56 196 BST 2019,0,0,132,0,0,2,131,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:51:26 200 BST 2019,0,0,135,0,0,2,134,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:51:56 203 BST 2019,0,0,138,0,0,2,137,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:52:26 210 BST 2019,0,0,141,0,0,2,140,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,2
Thu Aug 29 17:52:56 213 BST 2019,0,0,144,0,0,2,143,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:53:26 218 BST 2019,0,0,147,0,0,2,146,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,1
Thu Aug 29 17:53:56 221 BST 2019,0,0,150,0,0,2,149,0,1,7,8,3,2048,2,3072,0,17692,0,0,53248,0,0,0,0,0,-1,-1,2
timestamp,pendingMessageSize,inboundMessageRate,outboundMessageCount,outboundMessageRate,inboundMessageCount,connectionCount,pendingMessageCount,largeDestCount,consumerCount,topicCount,producerCount,queueCount,syncDBSize,durableCount,diskReadRate,asyncDBSize,msgMem,diskWriteRate,sessionCount,routeRecoverCount,diskWriteOperationsRate,diskReadOperationsRate,adminConnectionCount,outboundBytesRate,clientConnectionCount,inboundBytesRate,msgMemPooled,RespTime
Thu Aug 29 17:54:28 675 BST 2019,0,0,155,0,156,1,0,0,1,7,1,8,2048,0,0,3072,12861,0,1,0,0,0,-1,0,-1,0,53248,1
Thu Aug 29 17:54:58 681 BST 2019,0,0,159,0,160,2,0,0,3,7,1,8,2048,0,0,3072,17525,0,2,0,0,0,-1,0,-1,0,53248,1
Thu Aug 29 17:55:28 687 BST 2019,0,0,162,0,163,2,0,0,3,7,1,8,2048,0,0,3072,17526,0,2,0,0,0,-1,0,-1,0,53248,3
Thu Aug 29 17:55:58 693 BST 2019,0,0,165,0,166,2,0,0,3,7,1,8,2048,0,0,3072,17526,0,2,0,0,0,-1,0,-1,0,53248,3
Thu Aug 29 17:56:28 700 BST 2019,0,1,173,1,174,3,0,0,4,7,2,9,2048,0,0,3072,22190,0,3,0,0,0,-1,3920,-1,420,53248,3
