timestamp,largeDestCount,connectionCount,pendingMessageCount,pendingMessageSize,inboundMessageRate,inboundMessageCount,outboundMessageRate,outboundMessageCount,queueCount,consumerCount,producerCount,topicCount,msgMem,diskReadRate,durableCount,diskWriteRate,sessionCount,asyncDBSize,syncDBSize,msgMemPooled,routeRecoverCount,adminConnectionCount,outboundBytesRate,inboundBytesRate,diskReadOperationsRate,clientConnectionCount,diskWriteOperationsRate,RespTime
Fri Aug 30 09:11:18 695 BST 2019,0,1,0,0,0,213,0,212,8,1,1,5,12861,0,0,0,1,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:11:48 707 BST 2019,0,2,0,0,0,215,0,214,8,3,1,7,17525,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:12:18 712 BST 2019,0,2,0,0,0,220,0,219,8,3,1,7,17526,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:12:48 714 BST 2019,0,2,0,0,0,223,0,222,8,3,1,7,17526,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:13:18 718 BST 2019,0,2,0,0,0,226,0,225,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:13:48 721 BST 2019,0,2,0,0,0,229,0,228,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:14:18 722 BST 2019,0,2,0,0,0,232,0,231,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:14:48 726 BST 2019,0,2,0,0,0,235,0,234,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:15:18 729 BST 2019,0,2,0,0,0,238,0,237,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:15:48 730 BST 2019,0,2,0,0,0,241,0,240,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:16:18 743 BST 2019,0,2,0,0,0,244,0,243,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:16:48 768 BST 2019,0,2,0,0,0,247,0,246,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,23
