timestamp,durableCount,diskReadRate,msgMem,sessionCount,syncDBSize,asyncDBSize,diskWriteRate,topicCount,consumerCount,producerCount,queueCount,pendingMessageCount,largeDestCount,connectionCount,inboundMessageCount,pendingMessageSize,outboundMessageRate,outboundMessageCount,inboundMessageRate,msgMemPooled,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,routeRecoverCount,RespTime
Mon Sep 02 11:41:56 064 BST 2019,0,0,13027,1,1536,3584,0,7,1,1,8,0,0,1,575,0,0,574,0,53248,0,0,0,0,-1,-1,0,3
Mon Sep 02 11:42:26 071 BST 2019,0,0,13027,1,1536,3584,0,7,1,1,8,0,0,1,589,0,0,588,0,53248,233,3810,0,0,-1,-1,0,2
Mon Sep 02 11:42:56 082 BST 2019,0,0,13027,1,1536,3584,0,7,1,1,9,0,0,1,597,0,0,596,0,53248,201,605,0,0,-1,-1,0,1
Mon Sep 02 11:43:26 083 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,611,0,0,610,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 11:43:56 085 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,614,0,0,613,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 11:44:26 090 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,617,0,0,616,0,53248,0,0,0,0,-1,-1,0,3
Mon Sep 02 11:44:56 093 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,620,0,0,619,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 11:45:26 095 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,623,0,0,622,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 11:45:56 099 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,626,0,0,625,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 11:46:26 102 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,629,0,0,628,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 11:46:56 109 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,632,0,0,631,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 11:47:26 124 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,635,0,0,634,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 11:47:56 126 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,638,0,0,637,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 11:48:26 134 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,641,0,0,640,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 11:48:56 140 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,644,0,0,643,0,53248,0,0,0,0,-1,-1,0,3
Mon Sep 02 11:49:26 144 BST 2019,0,0,13027,1,1536,3584,0,5,1,1,9,0,0,1,647,0,0,646,0,53248,0,0,0,0,-1,-1,0,1
